user_identifier,total_purchase,total_rake,total_rake_apd,total_games
9383105,75,18.55,2,25
9398056,50,8,1,2
9438503,1000,310.65,2,44
9478382,100,6.11,1,6
9488316,30,10,1,3
9593887,100,19.07,1,21
9599448,50,13.33,1,5
9615554,200,34.94,1,19
9639119,3250,754,1,13
9699722,50,0.04,1,1
9747260,50,41.3,1,15
9821795,100,17.01,1,4
9889450,25,55.22,1,24
9989521,100,1.29,1,11
10013714,50,2.94,1,13
10034532,100,23,1,2
10053040,50,4,1,1
10136979,50,8.94,1,6
10187916,50,4,1,1
10218523,100,43.09,1,35
10264203,100,17.4,1,3
10315344,50,6.76,1,50
10333630,100,2.79,1,7
10478175,25,0,0,1
10480356,50,5.07,1,9
10525107,50,11,2,5
10544544,3000,788.36,2,119
10572806,25,6.38,1,14
10576233,100,24.9,2,26
10661646,100,0,0,0
10673060,25,4.5,1,4
10706688,50,8.99,1,19
10716817,100,72,1,9
10742334,25,22.54,1,19
10750090,25,11.09,1,54
10760887,50,2.31,2,28
10809908,100,0.75,1,2
10837225,50,28.36,1,39
10847598,50,0,0,2
10872226,25,7.83,1,10
10882990,250,55.49,2,33
10899413,100,48,1,6
11008227,25,4,1,1
11043096,50,5.2,1,5
11045654,100,19.39,2,60
11144012,200,34.87,1,9
11211744,50,11.33,2,2
11303431,50,4.5,1,3
11363180,50,10.89,1,63
11377016,100,29.96,2,53
11410808,50,16.85,2,9
11420536,350,191.53,2,35
11439484,136,49.31,2,177
11440533,25,2.36,2,12
11461814,31,12.2,1,12
11464740,25,7.28,1,38
11552839,100,65.4,2,93
11595263,25,5.88,1,13
11617557,100,3.61,1,4
11621848,35,12.92,1,5
11647925,50,1.71,1,10
11668059,200,65.5,2,27
11681863,150,62.35,1,18
11691105,50,3.05,1,3
11718809,5000,659.5,1,15
11749557,150,24.9,1,72
11759520,500,348.23,1,51
11766673,250,0.67,1,3
11782029,372,95.2,2,214
11785268,50,8,1,1
11804515,30,0.45,1,3
11830702,1000,726,1,15
11847143,200,95.49,2,99
11884231,100,12,1,3
11904777,50,4.19,2,21
