user_identifier,total_purchase,total_rake
11280106,100,15.17
11285448,50,0.04
11320365,100,8.94
11324972,100,9.24
11346137,100,8
11370158,50,8.13
11394509,50,8.1
11430083,400,392.78
11461933,50,54
11558296,100,83
11559480,50,30.65
11613117,50,8.84
11765500,25,8.53
11769306,25,2.98
11817617,50,0.45
11851530,25,24.49
11872848,100,6
11915768,100,10.78
11957996,50,0
12016413,100,15
12019906,50,34.54
12031978,100,16.52
12063704,100,162.07
12082482,500,75
12090855,100,21.33
12127999,300,121.48
12154148,100,16
12180717,50,13.95
12187545,250,175.13
12209454,10000,4
12217020,650,206.8
12239541,100,11.96
12240970,25,3.77
12262528,300,60.32
12271385,500,75.12
12365005,50,12
12393023,200,65.33
12456948,500,6.09
12458263,50,0
12477153,25,5.25
12501607,100,2.4
12554435,40,5.95
12555077,50,0
12576193,50,8.45
12607138,25,2.97
12628722,100,43
12691744,700,164.5
12725911,25,4.01
12745449,50,21.75
12776507,50,40.9
12791813,100,39.21
12812768,50,6.62
12827522,100,96
12848696,100,11.14
12865574,100,45.47
12868678,50,4.3
12872380,100,0
12963459,25,236.05
13028809,25,4
13030755,597,773.75
13071121,100,45
13108325,300,126.08
13117078,200,64
13120644,50,16.7
13131354,154,41.85
13156517,25,23.5
13168618,25,15.92
13225994,25,4.69
13259372,50,10.5
13264893,1500,1140
13289427,875,464.11
13291108,115,82.28
13317971,300,56.09
13364688,100,37.03
13382625,500,245.87
13396689,50,0.83
13486056,50,0.83
13507875,100,21.19
13513258,145,81.5
13530888,1000,239.03
13553902,1700,408.05
13559028,50,6.37
13630215,250,12.48
13679097,25,6.53
13686702,50,7
13698866,300,90.04
13699686,25,0
13702068,50,3.33
13720383,100,67.4
13775937,100,295.82
13804117,150,33.33
13817421,500,68.72
13892633,50,63.35
13924802,25,3.33
13945849,78,34.14
14005240,125,214
14037404,300,330
14182124,100,16
14239596,1000,120
14331175,25,4.54
14440992,100,8
14503034,100,21.5
14559092,550,93.98
14624343,50,8
14726420,50,5.03
14727179,250,32.1
14735736,50,32.67
14782449,100,53.27
14800862,25,1.5
14867716,100,12.41
14868116,50,14.5
14915215,25,3.99
14934215,50,6.35
14949394,25,16.16
14959742,50,10.25
14970160,192,55.06
15018716,200,103.16
15055505,50,7.5
15093835,50,12
15096859,2100,255.48
15161796,50,1.75
15162475,200,5.5
15167419,25,8.64
15171300,100,0
15194418,50,10.45
15260510,100,1.18
15382996,100,30.67
15383137,75,55
15420314,200,48
15439630,300,50.98
15458701,100,12
15470354,50,5.26
15474605,25,4.75
15502636,100,17.5
15536359,100,114
15538888,100,12.29
15560792,50,9.5
15569739,50,4
15685304,100,58
15695592,100,16.9
15731190,50,8.5
15743114,100,16
15845202,100,12.31
15880637,25,8.7
15895310,100,7.19
15905439,150,21.39
15913620,75,12.96
16001009,25,4
16039644,25,4
16090983,100,6.74
16095843,50,6.46
16099583,2000,1276.5
16140326,200,181.5
16153398,250,60
16157883,75,103.33
16192544,50,8.48
16214370,100,6.33
16217338,50,4.94
16218255,30,4.77
16251982,50,49.58
16330262,400,153.12
16400324,25,10.07
16525211,100,12.27
16564645,50,9.99
16617771,100,29.08
16617784,100,0.75
16632075,50,56.67
16643208,100,18.78
16651882,500,60
16689681,50,12.5
16702813,50,11.31
16766314,50,16.7
16811350,2900,1225.2
16827465,1000,378
16854834,100,32.12
16857729,50,8
16881400,100,32.52
16881988,100,69.86
16921255,500,0
16942893,5850,1640.03
16943226,100,11.32
16973086,2500,305
16984813,500,26.58
17002831,25,4.38
17009949,100,29.68
17029202,100,44
17035577,50,0
17079444,100,24.17
17090416,600,70.87
17119013,100,34
17137070,250,238
17189527,500,111.99
17247026,50,8
17346962,75,150.74
17430004,50,4
17513716,100,231.33
17584534,50,18.75
17612088,50,3
17632095,100,48.46
17649321,200,104.27
17692056,200,19.89
17782617,100,42.03
17783597,25,2.54
17785779,200,63.67
17793271,100,6.75
17830340,75,89.54
17917711,100,36.27
17969490,50,0
17995421,100,15
18004199,50,13.33
18012195,50,18.39
18031268,100,17.5
18154783,25,4
18242868,50,26.24
18267338,900,110
18337576,50,8.75
18338642,1150,1045.22
18363356,200,73.44
18382331,100,12.89
18457743,100,17.25
18542703,100,14.34
18554891,100,72.46
18592374,25,1.5
18615442,500,150.27
18668399,100,3.4
18705398,100,7.57
18706399,100,94
18819199,250,37.5
18848355,25,1.3
18860484,50,8.5
18888715,150,43.33
18897232,100,16.5
18925780,200,36.62
19013877,25,12
19030585,100,24.81
19049736,50,7.72
19091249,40,3
19104096,100,23
19219961,300,69.81
19248942,100,163.44
19256460,50,9.39
19259796,50,20.34
19289348,100,14.05
19332818,50,5.5
19381500,100,5.11
19386267,50,8.05
19397807,250,149.5
19539613,50,3.33
19584541,100,183.33
19622379,50,14.66
19795984,100,10.63
19799977,100,1.44
19805995,230,313.62
19817581,25,4
19923634,200,57.42
19927301,1000,686.8
19967165,100,25.2
20053361,100,19
20096304,50,3.42
20114035,50,13.5
20120745,100,18
20130655,50,36.85
20139962,50,7.5
20193425,100,21.29
20214963,50,8
20231542,50,1.31
20271184,25,10.64
20311169,50,19.1
20321670,10000,2208.01
20347835,45,0
20359547,500,108.75
20407677,200,130.93
20432002,50,47.86
20441652,50,17.02
20479735,100,24.31
20522922,50,8.97
20545630,50,15.33
20595222,100,26.67
20640149,25,8.07
20643680,100,60.67
20651986,100,30.67
20784887,300,16
20793343,50,4
20820991,500,250
20836688,25,8.15
20849345,500,75
20868723,100,6.15
20933289,50,2.38
20950178,100,23.83
21083105,100,78.95
21113353,100,27.46
21148352,100,16.38
21166819,50,3.61
21202235,25,4
21346334,50,5.04
21634520,50,4
21656888,500,279.56
21665788,50,7
21673936,500,119.8
21692509,50,8
21703113,100,109.2
21714020,25,5.35
21933881,200,133.74
21940829,100,11.24
21965191,50,3
22017692,130,34.59
22055906,50,125
22063238,100,8
22111233,200,28.93
22119895,500,75
22128352,50,6.2
22137975,50,8
22160799,30,12.1
22162185,200,149
22164418,1200,725.62
22168709,50,6.72
22247770,100,72.5
22260923,50,4
22364374,250,57.82
22405898,50,13.23
22423824,500,82.67
22461364,25,4.5
22470831,100,11.17
22472347,25,4.72
22474380,50,1.91
22482402,25,4.38
22518236,25,3
22527186,25,1.5
22556091,100,69.16
22582985,100,4
22583357,50,2.53
22610259,100,4
22696888,50,10
22713758,100,24.15
22721774,100,34
22728449,50,0
22819492,100,19
22894374,1100,645.35
22950554,300,49.9
22961221,100,36.23
23023902,100,22.67
23060406,50,9.41
23066117,200,24.38
23066384,50,11.64
23095869,100,17.65
23123597,100,23
23145599,50,6.46
23176234,100,45
23222814,100,16.87
23237914,500,73.25
23332789,25,6.69
23346371,50,30.25
23355026,100,28
23359762,50,7.31
23362774,50,6.89
23377841,100,18.92
23440510,50,0
23448341,25,35.75
23453327,25,12.33
23458296,100,0
23490457,80,67.38
23600730,2100,773.98
23624037,25,4
23682057,50,4
23745793,700,268.87
23757873,1500,496
23876302,400,313.32
23949207,40,7
23994399,100,8
24040513,50,25.75
24106351,50,8
24138842,500,255
24139540,100,7.42
24140402,100,25.75
24142055,50,25.61
24155763,25,4.83
24163402,50,3.3
24170784,100,23.42
24185492,100,1.5
24246310,130,91.3
24277486,400,140
24293623,50,2.33
24320277,100,37.34
24351320,100,18.42
24374574,100,12
24401799,100,134.07
24473988,50,6.06
24506335,25,3.9
24519034,100,22.67
24524327,50,5.38
24533219,25,0.28
24534781,100,49.5
24540612,100,41.5
24557330,100,15.33
24716160,25,4.5
24730523,50,24.73
24770172,1000,1068.28
24782948,50,7
24808745,30,27.11
24879308,100,106
24885507,100,10.54
24909616,50,32.95
24928746,25,4.49
24973129,100,16
25050468,6700,2723.04
25066295,500,0.92
25096066,50,8
25171580,200,57.52
25193053,50,8
25198552,150,28.68
25215423,50,10.67
25239280,75,11.7
25259221,4000,480
25259845,1000,244.93
25305401,50,8
25320162,50,12
25333045,50,3
25353041,625,158.17
25370361,200,49.47
25550960,100,54.43
25554711,50,57.24
25561588,100,3
25574277,300,165
25588970,50,68
25640685,50,2.93
25654176,100,16.73
25675391,50,8
25677397,100,29.92
25817995,50,4.08
25819715,1300,273.29
25839137,480,156
25840205,100,83
25866635,100,125.41
25927349,50,8
25956098,25,8.5
25986193,50,7.69
25988895,50,16.67
26023286,50,4.5
26061714,30,0
26066801,100,16
26076836,200,32.5
26088084,500,64.08
26106235,450,249.39
26176140,100,16.5
26177516,100,47
26189161,200,115.5
26204437,300,90
26252686,25,6.12
26255347,25,3
26309508,100,110.74
26313478,25,4.14
26379157,100,36.96
26450936,100,17.85
26484001,50,24.35
26527764,25,1.5
26567215,50,25
26575160,50,8
26608200,50,8
26621930,200,4
26651181,50,19.25
26707217,500,99.5
26725751,50,8
26765515,100,0
26811242,50,12.75
26867432,100,1.5
26881823,100,61
26944317,30,5.5
26944537,100,7.38
26946706,50,32
26990525,50,4.74
27011404,100,5.5
27024962,50,4
27044309,500,54.42
27081738,75,19.75
27105245,25,10.54
27128873,50,9.44
27203689,100,20
27210537,50,8
27220252,50,5.21
27225963,50,8.19
27257734,50,4
27268176,50,17.34
27296998,850,540.35
27304170,100,0.32
27337940,30,5.5
27365116,50,1.78
27377360,50,36
27385167,50,9.24
27388568,175,41
27449301,50,10.33
27510658,100,233.42
27604976,100,3.4
27606614,100,44.84
27622048,100,8
27645233,50,5.5
27677066,50,56.75
27679839,100,5.38
27680789,100,1.5
27725038,50,8
27760215,500,181.67
27767055,50,89.57
27776489,100,12
27821610,50,0.34
27834898,50,26.92
27859726,400,146.42
27975226,100,3
27979036,50,4.49
27986361,100,18.84
28016145,50,10.73
28103492,100,19
28150395,100,0.59
28230882,50,9.34
28264578,50,33.62
28266641,100,4.75
28320196,100,22.25
28332648,300,28.78
28377533,100,69.86
28382189,50,10.86
28430717,400,67.24
28464889,200,59.87
28475535,2000,2560
28555985,100,10.5
28591684,50,32.32
28591819,50,3.43
28647712,200,28.5
28717660,25,3
28733982,100,76.5
28744595,100,27
28745701,150,57.51
28944531,100,4
28962153,100,12.48
28965938,50,0.15
28980701,50,8.99
28990404,300,47.34
29043281,25,6.71
29126558,130,105.94
29176814,50,4
29184443,100,8.65
29186171,3500,1621.63
29212983,50,1.81
29223380,50,8.15
29238873,50,32.67
29249312,50,8.52
29278081,100,20.18
29306600,25,6.26
29309852,100,96.92
29343046,50,19.7
29356779,1425,227.74
29379250,50,41.09
29379408,50,2.64
29383690,75,35.31
29440646,50,8.68
29454442,1000,75
29457107,500,119
29535771,250,48
29572809,50,0
29578644,50,8.45
29610407,500,90
29637719,50,9.94
29639173,50,1.5
29663514,50,8
29717110,50,0
29732356,50,8
29739164,50,8
29772843,50,6.93
29818372,100,3.03
29873964,300,77
29880673,100,16.08
29887819,100,8.26
29964162,100,4.83
29980108,25,3.18
29985047,100,58
30081743,30,7.33
30113165,50,1.52
30154989,400,65.5
30165710,100,58.34
30169530,50,5.57
30180878,100,56
30208413,100,15
30233022,25,33.83
30249138,25,1.5
30252725,50,6.53
30253467,150,131.9
30310226,25,3.47
30362415,200,67
30711386,100,8
31413734,50,8.5
31765589,25,10.77
32113560,2000,491.5
32290923,25,2.68
32291392,25,17.32
32291520,100,48
32640996,25,4.5
32991189,25,0
33519442,50,2.49
33691619,100,16
33696490,25,17
34220450,100,19.84
34749736,200,66.32
35620925,50,5.96
35628736,50,3.33
35980651,100,16.5
35981446,100,7.85
35982368,100,32.39
36151245,500,123
36155449,25,4.5
36324364,25,4
36326843,50,15.22
36328980,50,24.01
36332603,75,11.5
36334152,25,0
36504531,50,6.75
37037636,25,4.36
37040240,50,8.25
37203848,100,22.81
37212201,50,7.33
37376544,50,11.38
37381248,1250,200
37550627,50,8
37554831,50,1.5
37731736,50,8.5
37907848,300,180
37911523,50,4.05
37912241,50,11.27
38076825,100,22.5
38081381,50,6.54
38084918,25,6.12
38253579,25,4
38431294,25,0
38437905,50,8
38613946,50,50.33
38615303,100,19
38783328,300,216.67
38953950,50,17.3
38959011,350,53
39306019,200,54.15
39306179,100,8.71
39480309,50,4.47
39485714,50,4.31
39663811,50,4
39664053,50,15.75
39842183,100,6.09
40358656,75,17.22
40360409,30,5.94
40533253,25,0.87
40708907,100,64.33
40709176,100,20.61
40714124,50,4.11
41061518,150,12.22
41239363,50,158.9
41247497,50,0
41595649,50,5.87
41772993,50,0
41773769,100,16
41938345,25,4.5
41953890,50,4
41956796,50,4
42117441,50,10.26
42139289,50,7.8
42289683,500,218.84
42468158,25,2.01
42476252,50,4.33
42481926,25,4.25
42486877,50,4.74
42490792,50,8
42498319,100,26.67
42643188,75,12.98
42818256,50,22.58
42836888,100,16.5
42861202,25,4
42997038,100,22.78
43165511,25,37.61
43169562,100,22.19
43170498,230,66.67
43171195,100,9.18
43194344,50,8.94
43346778,100,15
43355572,100,12
43358072,50,6.66
43375943,50,18.47
43387287,50,8
43716570,100,15.5
43716695,50,14.73
43721373,25,9.08
43869776,25,10
43882028,50,10
44063441,25,8.17
44080916,100,4
44082726,50,10
44226483,50,8
44227575,25,2.95
44258350,25,1.38
44394079,100,47.22
44394525,25,16
44399340,100,8
44417040,25,4.52
44570110,25,4
44575625,50,11.96
44581204,100,10.57
44590143,100,79
44604162,25,4
44755561,50,63.46
44758051,50,5.5
44766122,50,13.01
44774227,25,24
44940957,100,20.17
44951256,200,26.39
45107167,100,29
45118632,100,16
45124446,150,19.01
45289803,50,17.11
45447650,500,13.5
45472762,4897,1576.67
45636191,50,8
45818490,50,26.41
45982336,50,8.3
46149208,2000,120
46158502,50,0.98
46170583,25,4
46325925,50,5.43
46326705,100,10.67
46345587,200,115.22
46525352,125,26.16
46856579,250,67.53
47029557,50,1.1
47044505,25,3.73
47048210,100,3.75
47906215,100,3.82
47924987,50,8
47926891,100,14
48089025,100,48.26
48098902,50,6.1
48265504,100,61
48267942,50,3
48607855,100,10.67
48798088,600,154.16
49132151,100,19.08
49148046,500,0
49484587,100,24.64
49852267,100,6.99
50188111,25,37.38
50200901,25,4
50734209,100,7.7
50736382,100,5.02
50737137,50,8
50890901,100,18.3
51086085,25,10.5
51237130,50,1.04
51244849,100,18
51604717,50,7
51611637,25,3.33
51765026,330,262.79
51766880,50,35.09
51769710,50,8.13
51938604,50,17.49
51950158,150,22.23
52123510,25,3.02
52137735,30,5.5
52656058,25,1.4
52661109,25,6.67
52823629,25,6.05
52837710,100,19
53352183,800,105
53353258,50,7.33
53530635,1100,1326.74
53534401,200,30
53884654,25,2.58
54047026,50,0
54059093,50,8.13
54221413,50,7.97
54225913,25,4.16
54233811,50,14.08
54410876,100,16.67
54414090,100,26
54749033,2300,459
54755774,25,4
54755857,50,8.3
54758840,300,48.02
55277524,150,12.14
55282937,50,16.5
55282999,50,3.55
55449166,4600,1007.5
55451630,100,29.34
55457285,50,8
55800629,500,524.77
56326383,50,0
56687993,30,0.96
57039193,50,8
57203322,100,110.7
57388299,25,20
57560209,100,22.03
57560927,50,26.5
57904885,50,6.66
57907561,50,0
57911185,100,174.03
57912945,100,34.15
58079805,100,3.41
58260840,50,8
58266246,50,8.5
58442617,100,9
58615380,100,41.57
58784517,50,37.35
59142728,50,8.08
59316071,100,18.1
59489276,25,3.33
59666498,50,4
59666849,150,28.35
59672571,100,23.08
59673269,25,33.12
59835015,100,20
59842877,50,35
59846032,50,44
60015727,100,26.58
60187114,150,75
60367644,50,8
60537506,100,19
60546527,50,20.99
60892765,25,10
60900055,25,3.29
60901867,25,0.32
61075326,25,0.55
61075774,50,3
61077764,700,269.5
61238442,50,8
61242550,125,78.89
61247738,3000,944.65
61248896,50,5.5
61414211,50,12
61427990,50,8
61592550,100,15
61765239,100,92.24
61768705,700,197.5
61944471,100,40
62118100,166,16.77
62295401,50,105.11
62297243,25,4.5
62297685,50,26.62
62305524,50,39.99
62306856,75,23.5
62823060,25,1.69
62823424,25,6
63000382,25,3.75
63008711,50,12.83
63343994,50,12.13
63346891,100,38.58
63351655,100,12.3
63357948,200,189.18
63529049,50,128.51
63710693,50,3.74
63876717,50,11.45
64231510,100,16
64233519,150,25.09
64411189,50,3.52
64411514,50,2.61
64576011,50,8.63
64580932,100,42.88
64763866,50,5.5
64929536,100,34.67
65276736,100,8.43
65278610,500,60
65284078,25,6.33
65290154,50,8.26
65456545,107,86.01
65459749,50,0
65460400,25,3.62
65461641,50,8.45
65629644,200,67
65636608,500,154
65637943,50,4
65989641,50,0.42
65992966,200,38.17
66338858,40,7
66510318,50,7.5
66513110,1000,123.24
66679175,100,53.14
66685552,100,5.76
66861313,100,39.04
67039505,50,4
67218413,50,1.41
67384513,100,1.5
67395791,75,17.51
67559138,100,28
67570848,100,14.5
67736542,1700,361.5
67738882,50,8.21
67747548,2000,1440
67914730,50,7.33
68258745,82,7.33
68269772,100,16.5
68784074,100,6.67
68785058,500,75
69135052,75,12
69140651,50,18.21
69142876,50,34.22
69143625,50,9.13
69310447,25,2.88
69311848,25,4
69312756,50,1.48
69840520,50,0
70029986,25,8.1
70556872,100,4.39
70724803,100,0
70891807,50,8
71065074,100,10.93
71068479,50,0
71075699,50,8
71075839,50,28.46
71081844,200,24
71243246,25,34.93
71419704,50,7.33
71423882,50,4.5
71603179,25,8.67
71605061,100,61
71770287,100,120.12
71773979,400,536.67
71777923,50,8
71778098,25,4.5
71945597,1094,590.83
72297441,50,117.83
72300314,25,1.62
72308009,100,4
72662728,50,28
72826952,50,2.79
72834515,50,5.84
73009494,50,0
73015442,50,4.85
73189371,25,6.79
73346160,50,8
73356603,200,96.84
73529271,25,4
73873573,100,3.84
73888215,50,4.71
74047558,50,14.52
74048798,75,10.92
74232446,50,26.52
74234340,100,12
74236422,100,13.5
74240781,25,30.63
74242297,300,64.95
74406770,100,47
74582259,200,97.13
74767531,50,20
74928172,25,4.5
74929301,25,6.27
74935667,50,4.72
74935987,50,5.92
74947959,50,8
75112292,50,0
75282707,100,239.89
75630630,25,4
75642242,100,13.1
75643877,25,5.24
75645316,100,10.26
75649553,25,7
75804310,30,2.51
75814715,50,9.95
75995559,100,1.23
76329740,100,10.33
76338470,50,5.68
76515724,50,9.95
76531397,50,8
76686683,50,4.34
77033291,50,7.75
77033554,50,7.33
77043589,50,11.2
77220204,500,57.58
77222383,50,0.98
77231539,50,1.8
77385779,25,5.11
77394630,90,34.15
77742941,50,6.56
77915519,50,33.33
77915528,40,33.33
78084187,50,5.53
78267109,100,28
78442795,100,16
78444596,25,4.5
78969499,500,81.32
78972850,25,4.34
79136095,100,13.95
79140718,50,0.52
79141392,50,62.75
79147531,100,16
79312358,200,218.79
79313476,300,101.75
79317932,100,17.58
79320626,50,3.33
79487617,25,225.43
79673230,50,8
79843504,25,5.95
79845490,275,74.5
79850207,325,98
80027658,25,15.05
80027848,100,9.16
80191928,100,15
80197759,50,73.53
80373981,100,2.89
80374183,100,195
80377256,100,21.5
80378193,50,2.24
80727188,25,0.49
80728975,50,7
81067643,25,3
81420463,1000,165
81424265,100,227
81427606,100,0.86
81962235,25,3.33
82306977,50,77
82308537,100,46
82309148,100,4.79
82474586,50,8
82648365,100,192
82650524,50,1
82655760,11000,2530
82660331,125,16.57
82821182,25,4.36
82823167,100,19.66
82828871,50,8.5
82998500,100,16
83010244,50,7.79
83015943,150,16.67
83198108,50,10.67
83371571,50,8.5
83545722,150,36.01
83547120,100,29.06
83721774,50,7.5
83876631,25,4
83894110,50,7.57
83899674,50,8
84075273,100,0
84076412,25,705.65
84229150,50,7.81
84239745,25,1.26
84252887,50,23.47
84402640,50,4.76
84404626,100,3.26
84412758,25,4
84431161,50,25.16
84578052,100,4.32
84581370,25,4
84586017,50,5.04
84597311,50,14.93
84757075,50,13.27
84759868,50,7.42
84767862,300,173.83
84768429,125,62.26
84778351,50,5.03
84938786,25,4.29
84940927,25,12.75
84940942,25,2.11
84952560,300,283.75
84958184,50,15.28
85107322,50,4
85110027,100,24.5
85110120,156,0
85119796,30,0
85136105,25,8.5
85137782,100,17.23
85278295,25,350
85279965,50,9.78
85285966,100,12.88
85293397,50,22.22
85313297,500,1675.51
85465686,75,12
85630405,50,36
85655892,25,20.25
85656354,50,9.1
85813626,100,10.89
85827815,100,42
85828006,50,23.5
85988417,25,0
86000070,100,23.08
86002062,150,35.19
86011313,400,138.76
86330214,50,48.47
86338436,100,10.61
86338827,100,42.65
86339186,50,8.17
86342934,100,62.64
86346287,50,4.32
86356039,100,16.88
86507985,50,8
86510975,25,3.33
86530549,25,2.7
86684693,50,10.5
86694358,30,6.59
86696471,50,4
86704608,750,838.2
87048026,50,4.18
87217574,100,16
87229170,50,11.01
87235812,100,22
87391183,100,91.68
87392166,100,16.99
87392588,25,3.75
87404521,50,4
87411944,100,20.24
87563881,50,7
87564715,50,11.48
87577555,100,40
87749685,50,0
88092056,50,8
88093486,2230,2745.5
88100693,100,77.18
88102598,50,8
88263973,60,0
88268749,50,8.48
88271797,50,1.36
88278648,50,41.95
88436522,25,15
88973693,100,16
89147591,50,4
89488535,100,10.62
89499857,100,48.77
89501836,100,21.35
89665557,30,31.5
89670608,25,4.12
89851836,100,169.18
89851856,28,5.24
90014965,100,169.49
90018276,50,12
90032058,100,16
90196965,150,24.75
90210430,1000,125.25
90370195,50,3
90383812,100,8
90721806,25,2.77
90723022,100,1.5
90738755,50,8.5
90903869,78,169.02
90905210,100,0
90914005,100,18
91078740,50,4
91249971,50,1.37
91254259,25,1.5
91258581,50,28.52
91263244,100,2.23
